mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_ACC,split1_test_ACC,split2_test_ACC,split3_test_ACC,split4_test_ACC,mean_test_ACC,std_test_ACC,rank_test_ACC,split0_test_Custom Evaluation,split1_test_Custom Evaluation,split2_test_Custom Evaluation,split3_test_Custom Evaluation,split4_test_Custom Evaluation,mean_test_Custom Evaluation,std_test_Custom Evaluation,rank_test_Custom Evaluation
0.32440619468688964,0.006430540386580463,0.024793386459350586,0.001604431283452649,445,14,1,sqrt,88,True,"{'n_estimators': 445, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 88, 'bootstrap': True}",,,,,,,,91,,,,,,,,91
1.413612699508667,0.03586693494361665,0.11180195808410645,0.016110034342671792,2000,14,2,sqrt,33,True,"{'n_estimators': 2000, 'min_samples_split': 14, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 33, 'bootstrap': True}",,,,,,,,90,,,,,,,,90
0.0030010700225830077,4.044973384942722e-06,0.002200412750244141,0.0003998058036576553,1,2,1,sqrt,44,False,"{'n_estimators': 1, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 44, 'bootstrap': False}",0.6086956521739131,0.6521739130434783,0.6521739130434783,0.7391304347826086,0.6363636363636364,0.6577075098814229,0.04370047418524979,1,-0.5853658536585366,-0.34146341463414637,-0.34,-0.4772727272727273,-0.6304347826086957,-0.4749073556348212,0.12033514474493817,1
0.3518197059631348,0.008646599938430956,0.03520040512084961,0.001939120455831288,667,2,1,sqrt,44,False,"{'n_estimators': 667, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 44, 'bootstrap': False}",,,,,,,,89,,,,,,,,89
1.5122260093688964,0.01841403766455154,0.10759954452514649,0.011182544549675424,2000,2,2,auto,55,True,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 55, 'bootstrap': True}",,,,,,,,88,,,,,,,,88
0.30681586265563965,0.0034025471134091845,0.0,0.0,1555,1,2,auto,66,False,"{'n_estimators': 1555, 'min_samples_split': 1, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 66, 'bootstrap': False}",,,,,,,,87,,,,,,,,87
0.6443918704986572,0.009224918186842117,0.04501309394836426,0.0006340904008756769,889,14,4,auto,55,True,"{'n_estimators': 889, 'min_samples_split': 14, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 55, 'bootstrap': True}",,,,,,,,86,,,,,,,,86
1.044002628326416,0.024635717196837572,0.09959969520568848,0.001200469670060029,2000,2,2,sqrt,11,False,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 11, 'bootstrap': False}",,,,,,,,85,,,,,,,,85
1.3212265968322754,0.023146530399544868,0.09359726905822754,0.009242273082554127,1777,14,4,auto,,True,"{'n_estimators': 1777, 'min_samples_split': 14, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'bootstrap': True}",,,,,,,,84,,,,,,,,84
1.0250279426574707,0.01387332021954292,0.10078344345092774,0.0021452801501303264,2000,2,4,sqrt,,False,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",,,,,,,,83,,,,,,,,83
